toolgroup,proba,feature,shap,value
DE_BE_66,0.72405916,max_util,0.661627471446991,1.0
DE_BE_66,0.72405916,utilization_avg,0.5182702541351318,0.0573087244694871
DE_BE_66,0.72405916,wip,0.2163512408733368,2.0
DE_BE_66,0.72405916,utilization_avg_delta_120,0.15752549469470978,0.0359564110819216
DE_BE_66,0.72405916,available_tool_ratio,-0.10522554069757462,1.0
DefMEt_FE_118,0.9484106,max_avg_q_time,1.2577300071716309,2078.528843394662
DefMEt_FE_118,0.9484106,wait_ratio,0.7307192087173462,156.23412821306906
DefMEt_FE_118,0.9484106,q_time_min,0.7113028764724731,1990.1576291310503
DefMEt_FE_118,0.9484106,max_util,0.6306326985359192,0.9931013054915336
DefMEt_FE_118,0.9484106,wip,0.5128148794174194,334.24163739117154
Dielectric_FE_30,0.92807305,max_avg_q_time,1.1921802759170532,29.205006045383925
Dielectric_FE_30,0.92807305,wait_ratio,1.1604682207107544,0.38888888888888884
Dielectric_FE_30,0.92807305,q_time_min,0.963981568813324,29.205006045383925
Dielectric_FE_30,0.92807305,wip,0.5656484365463257,2.4
Dielectric_FE_30,0.92807305,utilization_avg,-0.48742246627807617,0.5499810864464356
EPI_38,0.8616221,max_avg_q_time,1.3044480085372925,2.4947644711864996
EPI_38,0.8616221,q_time_min,0.5876501202583313,2.4947644711864996
EPI_38,0.8616221,wip,0.5794033408164978,2.0
EPI_38,0.8616221,wait_ratio,0.44863319396972656,1.0
EPI_38,0.8616221,utilization_avg,-0.3813219368457794,0.7936823537454984
TF_Met_FE_61,0.8813535,max_avg_q_time,0.9949654340744019,218.81942428303236
TF_Met_FE_61,0.8813535,q_time_min,0.8452797532081604,207.964947784292
TF_Met_FE_61,0.8813535,wait_ratio,0.7202785015106201,22.490494296577946
TF_Met_FE_61,0.8813535,wip,0.5978532433509827,49.6356783919598
TF_Met_FE_61,0.8813535,max_util,0.5554675459861755,0.960601725404255
